BPS_NAME,Surface,Mixed,Replacement
North-Central Interior Oak Savanna,880707.6,4786.454348,72.52203557
Central Tallgrass Prairie,0,0,813834.5
North-Central Oak Barrens,46857.33333,327.6736597,6.182521881
North-Central Interior Dry-Mesic Oak Forest and Woodland,37936.35526,758.7271053,6.021643693
Paleozoic Plateau Bluff and Talus,14262.78431,113.1967009,7.546446727
North-Central Interior Oak Savanna,11284.2,67.57005988,0.127490679
North-Central Interior Dry-Mesic Oak Forest and Woodland,7079.130435,150.6197965,2.008263953
North-Central Interior Sand and Gravel Tallgrass Prairie,5090.91954,0,0
Central Interior and Appalachian Floodplain Systems,3170.283582,7.338619403,0
North-Central Interior Dry-Mesic Oak Forest and Woodland,2842.828947,58.01691729,0.471682254
North-Central Interior Oak Savanna,2584.2,15.66181818,0.028476033
Eastern Great Plains Floodplain Systems,1440.333333,18.95175439,0.037160303
North-Central Interior Maple-Basswood Forest,1412.18203,0,0
North-Central Oak Barrens,987.8,4.015447154,0.011775505
North-Central Interior Dry-Mesic Oak Forest and Woodland,848.6521739,15.15450311,0.204790583
Central Interior and Appalachian Floodplain Systems,99.52941176,0.233637117,0
North-Central Interior Maple-Basswood Forest,2.803550296,0,0
